"year","quantity","state"
"1614","702","Pernambuco"
"1615","702","Pernambuco"
"1616","702","Pernambuco"
"1617","702","Pernambuco"
"1618","702","Pernambuco"
"1619","702","Pernambuco"
"1620","702","Pernambuco"
"1621","702","Pernambuco"
"1622","702","Pernambuco"
"1623","702","Pernambuco"
"1624","702","Pernambuco"
"1625","702","Pernambuco"
"1626","702","Pernambuco"
"1627","1223","Pernambuco"
"1628","1223","Pernambuco"
"1629","1223","Pernambuco"
"1630","1957","Pernambuco"
"1631","1957","Pernambuco"
"1632","1957","Pernambuco"
"1633","2257","Pernambuco"
"1634","2257","Pernambuco"
"1635","2257","Pernambuco"
"1636","3116","Pernambuco"
"1637","4345","Pernambuco"
"1638","5863","Pernambuco"
"1639","7534","Pernambuco"
"1640","8823","Pernambuco"
"1641","10434","Pernambuco"
"1642","10434","Pernambuco"
"1643","15446","Pernambuco"
"1644","20378","Pernambuco"
"1645","23957","Pernambuco"
"1646","24722","Pernambuco"
"1647","24728","Pernambuco"
"1648","24728","Pernambuco"
"1649","25308","Pernambuco"
"1650","25599","Pernambuco"
"1651","26648","Pernambuco"
"1652","26839","Pernambuco"
"1653","26839","Pernambuco"
"1654","26839","Pernambuco"
"1655","26839","Pernambuco"
"1656","26839","Pernambuco"
"1657","26839","Pernambuco"
"1658","26839","Pernambuco"
"1659","26839","Pernambuco"
"1660","26839","Pernambuco"
"1661","26839","Pernambuco"
"1662","26839","Pernambuco"
"1663","26839","Pernambuco"
"1664","26839","Pernambuco"
"1665","26839","Pernambuco"
"1666","26839","Pernambuco"
"1667","26839","Pernambuco"
"1668","26839","Pernambuco"
"1669","26839","Pernambuco"
"1670","26839","Pernambuco"
"1671","26839","Pernambuco"
"1672","26839","Pernambuco"
"1673","26839","Pernambuco"
"1674","26839","Pernambuco"
"1675","26839","Pernambuco"
"1676","26839","Pernambuco"
"1677","26839","Pernambuco"
"1678","26839","Pernambuco"
"1679","26839","Pernambuco"
"1680","26839","Pernambuco"
"1681","26944","Pernambuco"
"1682","26944","Pernambuco"
"1683","26944","Pernambuco"
"1684","26944","Pernambuco"
"1685","26944","Pernambuco"
"1686","26944","Pernambuco"
"1687","26944","Pernambuco"
"1688","26944","Pernambuco"
"1689","26944","Pernambuco"
"1690","26944","Pernambuco"
"1691","26944","Pernambuco"
"1692","26944","Pernambuco"
"1693","26944","Pernambuco"
"1694","27459","Pernambuco"
"1695","27459","Pernambuco"
"1696","27459","Pernambuco"
"1697","28151","Pernambuco"
"1698","31463","Pernambuco"
"1699","33145","Pernambuco"
"1700","33668","Pernambuco"
"1701","33878","Pernambuco"
"1702","33878","Pernambuco"
"1703","33878","Pernambuco"
"1704","33878","Pernambuco"
"1705","33878","Pernambuco"
"1706","33878","Pernambuco"
"1707","33878","Pernambuco"
"1708","33878","Pernambuco"
"1709","34235","Pernambuco"
"1710","34235","Pernambuco"
"1711","34235","Pernambuco"
"1712","34235","Pernambuco"
"1713","34235","Pernambuco"
"1714","34235","Pernambuco"
"1715","34949","Pernambuco"
"1716","35306","Pernambuco"
"1717","35306","Pernambuco"
"1718","36086","Pernambuco"
"1719","37441","Pernambuco"
"1720","40585","Pernambuco"
"1721","43081","Pernambuco"
"1722","46563","Pernambuco"
"1723","46563","Pernambuco"
"1724","51456","Pernambuco"
"1725","55918","Pernambuco"
"1726","60500","Pernambuco"
"1727","66763","Pernambuco"
"1728","69859","Pernambuco"
"1729","69859","Pernambuco"
"1730","69859","Pernambuco"
"1731","71206","Pernambuco"
"1732","72634","Pernambuco"
"1733","75669","Pernambuco"
"1734","79027","Pernambuco"
"1735","82062","Pernambuco"
"1736","84204","Pernambuco"
"1737","85950","Pernambuco"
"1738","86924","Pernambuco"
"1739","87910","Pernambuco"
"1740","89991","Pernambuco"
"1741","91289","Pernambuco"
"1742","93697","Pernambuco"
"1743","95178","Pernambuco"
"1744","98816","Pernambuco"
"1745","101081","Pernambuco"
"1746","103875","Pernambuco"
"1747","106487","Pernambuco"
"1748","110875","Pernambuco"
"1749","113100","Pernambuco"
"1750","116895","Pernambuco"
"1751","118658","Pernambuco"
"1752","118658","Pernambuco"
